Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1639064113.0926244,165338,1639064113,82020586,base_mag,402.5689697265625,-203.1656494140625,279.3527526855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1019993,165339,1639064113,91947384,base_mag,401.6283874511719,-198.46273803710938,284.0556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.107836,165340,1639064113,100905201,base_mag,401.6283874511719,-198.46273803710938,284.0556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1210139,165341,1639064113,109177033,base_mag,400.68780517578125,-195.6409912109375,285.93682861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1311126,165342,1639064113,122574760,base_mag,401.6283874511719,-193.75982666015625,287.8179931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1456532,165343,1639064113,132654554,base_mag,402.5689697265625,-189.99749755859375,292.5209045410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1514583,165344,1639064113,144049322,base_mag,402.5689697265625,-187.17575073242188,293.46148681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.164222,165345,1639064113,149147218,base_mag,402.5689697265625,-187.17575073242188,293.46148681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1718729,165346,1639064113,161440968,base_mag,405.3907165527344,-173.06703186035156,298.1643981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1778786,165347,1639064113,173199728,base_mag,409.1530456542969,-158.95831298828125,303.8078918457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.1864645,165348,1639064113,179786594,base_mag,414.7965393066406,-150.49307250976562,298.1643981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
