Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1639064173.1141014,171283,1639064173,111577866,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5380917191505432,-0.22943133115768433,1.0343717336654663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.088520050048828,7.484274387359619,0.7541735172271729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.1213918,171284,1639064173,118655373,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21212078630924225,-0.19867181777954102,1.113867163658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.161964178085327,8.001421928405762,0.31603461503982544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.134959,171285,1639064173,130582856,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19401128590106964,-0.13462279736995697,1.1812450885772705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7788918018341064,8.391676902770996,-0.26336216926574707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.1431723,171286,1639064173,141695512,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6255765557289124,0.01091896090656519,1.188968300819397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0829553604125977,8.71728801727295,-1.0749965906143188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.1567283,171287,1639064173,154095895,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1124024391174316,0.309326171875,1.1285145282745361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9544448852539062,9.191340446472168,-1.7190368175506592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.1651285,171288,1639064173,162762067,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4318485260009766,0.5424858927726746,1.0603375434875488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.737348794937134,9.512163162231445,-2.1332337856292725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.1797664,171289,1639064173,172151085,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6811203956604004,0.710265040397644,0.9990848898887634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.793191909790039,9.821015357971191,-2.279279947280884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.187605,171290,1639064173,181516109,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8963038921356201,0.7970840930938721,0.9503490328788757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.069301128387451,9.840168952941895,-2.250549554824829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.1911252,171291,1639064173,188764580,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0860540866851807,0.8347678184509277,0.9105347990989685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0317702293396,9.488221168518066,-2.145204782485962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.2031286,171292,1639064173,198575510,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.229731559753418,0.8522115349769592,0.8769789338111877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8098859786987305,8.633491516113281,-1.9560627937316895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
