Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1639063866.245791,204,1639063866,236397981,/gps,0,1,23.947271,90.38108733333334,-41.300000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063867.2475533,205,1639063867,244788885,/gps,0,1,23.94725783333333,90.3811015,-41.400000000000006,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063868.2464173,206,1639063868,237163066,/gps,0,1,23.947239166666666,90.38111883333333,-41.400000000000006,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063869.2463605,207,1639063869,237374067,/gps,0,1,23.947216,90.38113116666666,-41.5,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063870.2465668,208,1639063870,236289978,/gps,0,1,23.947188333333333,90.3811295,-41.5,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063871.237228,209,1639063871,234266042,/gps,0,1,23.947168833333333,90.38111116666667,-41.5,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063872.2459254,210,1639063872,237092971,/gps,0,1,23.947161166666667,90.38108333333334,-41.6,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063873.238372,211,1639063873,235575914,/gps,0,1,23.947167,90.381051,-41.5,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063874.2383676,212,1639063874,235682964,/gps,0,1,23.9471615,90.38102283333333,-41.6,2.3716,0.0,0.0,0.0,2.3716,0.0,0.0,0.0,9.4864,1
1639063875.2381723,213,1639063875,235065937,/gps,0,1,23.947151333333334,90.380992,-41.6,2.3716,0.0,0.0,0.0,2.3716,0.0,0.0,0.0,9.4864,1
1639063876.244965,214,1639063876,235748052,/gps,0,1,23.9471315,90.38093633333334,-41.5,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063877.2378826,215,1639063877,235152959,/gps,0,1,23.947118833333334,90.3809025,-41.6,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063878.245617,216,1639063878,236000061,/gps,0,1,23.9471175,90.380873,-41.900000000000006,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063879.238221,217,1639063879,235357999,/gps,0,1,23.94713,90.38085583333333,-42.0,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063880.2449486,218,1639063880,235975027,/gps,0,1,23.9471435,90.38082583333333,-41.800000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063881.2377045,219,1639063881,227108001,/gps,0,1,23.947144833333333,90.3807985,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063882.236373,220,1639063882,227338075,/gps,0,1,23.9471485,90.38077216666667,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063883.2364888,221,1639063883,227819919,/gps,0,1,23.947165,90.38075033333334,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063884.236291,222,1639063884,227447032,/gps,0,1,23.947176166666665,90.38071883333333,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063885.2357173,223,1639063885,227037906,/gps,0,1,23.947184166666666,90.38069133333333,-42.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063886.236374,224,1639063886,227655887,/gps,0,1,23.947194833333334,90.3806615,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063887.2446332,225,1639063887,236059904,/gps,0,1,23.947205333333333,90.3806315,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063888.2369487,226,1639063888,234158039,/gps,0,1,23.9472155,90.38060716666666,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063889.237272,227,1639063889,227627038,/gps,0,1,23.9472285,90.38058866666667,-42.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
